,num_sectn_,RES_NM_REG
799,9838802000,Gaspésie–Îles-de-la-Madeleine
800,0033850000,Montérégie
801,2196002000,Abitibi-Témiscamingue
802,4291003000,Capitale-Nationale
803,S001614887,Montérégie
804,2211796650,Abitibi-Témiscamingue
805,0002518006,Laval
806,0000503007,Outaouais
807,0002526000,Lanaudière
808,0001021208,Estrie
809,0007320000,Chaudière-Appalaches
810,0001517201,Montréal
811,0033755000,Lanaudière
812,0013870500,Capitale-Nationale
813,0013640000,Capitale-Nationale
814,0003022560,Montérégie
815,0002052014,Chaudière-Appalaches
816,2667001000,Laurentides
817,0035910000,Mauricie
818,0024725000,Estrie
819,0023453000,Bas-Saint-Laurent
820,0016138000,Centre-du-Québec
821,0064080010,Laurentides
822,0007060010,Saguenay–Lac-Saint-Jean
823,0020150520,Montérégie
824,0002002180,Montérégie
825,0021602800,Estrie
826,0016106000,Estrie
827,0002031000,Montérégie
828,8929003000,Chaudière-Appalaches
829,0019825000,Gaspésie–Îles-de-la-Madeleine
830,0033541500,Laurentides
831,3932204000,Mauricie
832,0013248000,Chaudière-Appalaches
833,0001301501,Montréal
834,4837502000,Nord-du-Québec
835,9936003000,Gaspésie–Îles-de-la-Madeleine
836,0017130000,Chaudière-Appalaches
837,0002054012,Chaudière-Appalaches
838,0044011000,Laval
839,3011010000,Montérégie
840,4174003000,Capitale-Nationale
841,7233001000,Centre-du-Québec
842,0002008000,Intersection: Montréal + Montérégie
843,8717102000,Chaudière-Appalaches
844,7834101000,Centre-du-Québec
845,8758401000,Chaudière-Appalaches
846,9791002500,Gaspésie–Îles-de-la-Madeleine
847,0005519000,Centre-du-Québec
848,7583006000,Estrie
849,0002092000,Bas-Saint-Laurent
850,0019730000,Gaspésie–Îles-de-la-Madeleine
851,0034323000,Lanaudière
852,2130001000,Abitibi-Témiscamingue
853,0016755000,Nord-du-Québec
854,0001516806,Montréal
