section,nom,type,debut,fin,dg,dt,cs,municipalite
11667500,route 116,Route,route 165,route 267,53.0,64.0,7.0,Plessisville
8192205000,,Route,route Barabé (81830),route 265,53.0,64.0,6.0,Parisville
5516404,00055-03-045-31B0,Bretelle,Chemin Mooney (S-98),Autoroute 55 nord,53.0,90.0,9.0,Ulverton
10150000,route 101,Route,chemin Bradley et route 101,route 117,53.0,91.0,7.0,Rouyn-Noranda
16147500,route 161,Route,route 261,2e rang est,53.0,64.0,7.0,Saint-Valère
9728802000,,Route,RTE GASPESIENNE EST,Rue du Verger,53.0,63.0,9.0,Pointe-à-la-Croix
11727500,route 117,Route,boulevard Mirabel,route 158,56.0,29.0,2.0,Mirabel
13824100,route 138,Route,route 131,chemin Joliette,53.0,88.0,6.0,Lanoraie
2511001,00025-01-013-31B0,Bretelle,AUT. 25 SUD SORTIE 5 POUR RUE SHERBROOKE,VOIE DE SERVICE,56.0,29.0,2.0,Montréal
5553004,00055-05-034-31F0,Bretelle,INTERS. BOUL. ST-JEAN.,SUR LA LIGNE DE CENTRE DE LA 55 VOIE SUD.,53.0,70.0,7.0,Trois-Rivières
2028007,00020-03-050-35I0,Bretelle,Bretelle A-30 Ouest,A-20 Ouest,56.0,29.0,2.0,Boucherville
9688001000,Rue Frenette,Route,Intersection de rue Frenette et rue Garon,SAINTE-MARGUERITE,53.0,65.0,6.0,Causapscal
3041202000,,Route,chemin West Gore sud,route 158,53.0,88.0,7.0,Lachute
5554013,00055-05-040-32D0,Bretelle,INTERS. BOUL. ST-JEAN.,SUR LA LIGNE DE CENTRE DE LA 55 VOIE SUD.,53.0,70.0,7.0,Trois-Rivières
15827000,route 158,Route,36e avenue,ch. de Val-des-Lacs,53.0,88.0,7.0,Sainte-Sophie
11776500,route 117,Route,Louvicourt,route 113,53.0,91.0,6.0,Val-d'Or
7939002000,Rue Principale / 11e Rang,Route,route du 3e rang (79610),rue de la Station (Vigneault),53.0,64.0,6.0,Aston-Jonction
15837000,route 158,Route,chemin Archambault,route 343,53.0,88.0,6.0,Crabtree
